simulation,use_case,implementation_cost,monthly_operating_cost,cost_per_interaction,readmission_reduction,readmissions_prevented,nurse_time_saved_hours,patient_satisfaction_increase,monthly_interactions,adoption_rate,total_annual_cost,total_annual_benefit,net_annual_benefit,roi_percent,payback_months,npv_3_year,benefit_cost_ratio
0,discharge_education,203139.80065429577,32247.242221067136,0.014343065614302077,0.421842388512642,23,3.2896064077536957,0.18837173645764543,1131.078001740899,0.3216349230346251,454874.8510494972,938020.5694656258,483145.7184161286,106.21508691927116,5.045429391039334,1216477.2307630614,2.0621508691927115
1,discharge_education,196735.6240087293,27274.871040789407,0.006660159266026606,0.26575631486590123,28,2.128796581440414,0.11852625195378745,2563.5368028009457,0.17727037947274454,393081.87658640766,787269.8075410412,394187.9309546335,100.28138014854082,5.989091249920728,988127.1665696742,2.002813801485408
2,discharge_education,172088.1630605534,32196.63619069875,0.010598083930243585,0.27666450001653786,33,2.493251387631033,0.09711445355220497,2970.060094213139,0.1857950438856023,444100.07866244554,883237.1339442394,439137.0552817938,98.88245383887354,4.70253633094455,1107439.9146165205,1.9888245383887355
3,discharge_education,241922.3997604646,31950.075782170003,0.01299058370760737,0.317491065284309,39,2.9408805194743053,0.09954573285674462,344.3827817455245,0.13437614109485027,464095.3941064396,1027860.2003884043,563764.8062819648,121.47606148245163,5.149432466831953,1418773.3465486604,2.2147606148245162
4,discharge_education,182510.48580551695,29485.272970575388,0.010369233999082123,0.3489341031072694,33,2.080391238388681,0.13453938120743927,2131.9472798963598,0.5512917960241164,414925.38417137106,866990.2421979678,452064.8580265968,108.95088015147478,4.844715953429296,1139286.9055589805,2.089508801514748
5,discharge_education,226266.43959721053,30835.74246366897,0.008811380127757987,0.2169736098787614,34,2.4620981274859073,0.22477171264417367,2142.4885567162564,0.008386526136976524,445677.59546954226,1020844.4692173415,575166.8737477993,129.05447336697148,4.720712195183016,1450364.564503449,2.290544733669715
6,discharge_education,165353.13950469112,27523.242730421578,0.012675282329606507,0.14099448683192856,39,3.238947022370758,0.12408648908631763,825.6317345052627,0.13678700472925368,385522.2073173109,1091149.601994516,705627.3946772052,183.03158191258905,2.812019047196996,1795160.7859873434,2.8303158191258904
7,discharge_education,187406.89029637814,30935.6360913218,0.013386253328979053,0.4097489706839821,38,2.5877766469774164,0.13716849086537228,1235.4765825505908,0.2835202997539891,433895.05735818023,1005579.4549724363,571684.397614256,131.75637470844265,3.9337835577488875,1446867.8259093694,2.3175637470844266
8,discharge_education,206518.26406849135,23978.087668219432,0.01137185645041969,0.23581781846227046,41,3.443092950605265,0.15872889064159193,2021.7636415175994,0.49134954397604835,356852.36784569314,1180330.9742202763,823478.6063745832,230.76170443982153,3.0094517934502427,2093071.836863386,3.3076170443982154
9,discharge_education,166632.8622058561,27252.130379866292,0.012320458373652348,0.24726541580508177,25,2.501968652215701,0.1669910482093322,1657.157078063046,0.3581887554246956,382814.8551779341,842246.9729973733,459432.1178194392,120.01418220980298,4.352317282389324,1160511.2801939342,2.2001418220980296
10,discharge_education,202618.0046969092,27481.15843056677,0.014160571281400811,0.4752364500647983,27,2.549825682543821,0.12482621729419004,359.3171948522547,0.3733257479995874,397374.293706775,834303.5560248868,436929.2623181118,109.9540834014101,5.564781913353945,1097446.4973523952,2.099540834014101
11,discharge_education,182115.52710286644,24934.66103273105,0.017049803215052617,0.2714603979385445,33,2.7780608992669826,0.21819432622085527,7563.48727977035,0.23568650663126414,361468.5797306038,1041342.2431255629,679873.6633949592,188.08651747868575,3.2144006201411575,1726427.9679507464,2.880865174786857
12,discharge_education,235885.5334815425,31022.65194730317,0.01315147855103763,0.32771585675975806,32,2.646536236649341,0.11428242909868161,5422.0755197784265,0.45155083934910056,451756.03424695786,906332.1398630961,454576.1056161382,100.62424653029399,6.226958185454651,1138234.478000228,2.00624246530294
13,discharge_education,238334.54027391315,27660.453571814483,0.014761253811227356,0.3339588995245161,31,2.970267792481005,0.08150644716418516,855.6620640100015,0.2237663665214278,411521.8573585867,901641.2601867158,490119.40282812907,119.0992395820801,5.835342299822975,1229487.7713785241,2.190992395820801
14,discharge_education,244521.80205814834,26255.313216868388,0.01160602950028613,0.5,24,1.964553750969444,0.17412362076215926,1394.5025259693507,0.32443504544665647,396765.2416045923,765515.6083881869,368750.3667835946,92.93918118741945,7.957311745318982,915835.7903598957,1.9293918118741946
